model,k,n,eps,keep_frac,mem_kb,mem_frac,geom_fid,val_acc,id_acc,acc_shift_6,acc_shift_12,acc_shift_18,avg_ood_acc,task,seed,margin_id,margin_ood,nmi,hungarian_acc,auroc
feataxis,3,4,1,0.2861,156.5,0.2861,0.9776989107705912,0.9885714054107666,0.9742857217788696,,,,,novel,1,,,0.9709320137521774,0.9873333333333333,0.9810790476190475
loghd,3,5,2,,195.6,0.3576,0.9934170066920074,0.6371428370475769,0.6264285445213318,,,,,novel,1,,,0.9739941100215661,0.9886666666666667,0.6299316666666667
feataxis,3,5,2,0.3576,195.6,0.3576,0.981772435407772,0.9900000095367432,0.9728571176528931,,,,,novel,1,,,0.9700290342150958,0.9866666666666667,0.9809195238095237
baseline,,,,1.0,546.9,1.0,0.9935158487071787,1.0,0.9878571033477783,,,,,novel,2,,,0.9550910482856568,0.982,0.9862442857142858
loghd,2,4,0,,156.5,0.2861,0.9935158487071787,0.5014285445213318,0.4464285671710968,,,,,novel,2,,,0.9550910482856568,0.982,0.5201361904761905
feataxis,2,4,0,0.2861,156.5,0.2861,0.9781176423502788,0.9885714054107666,0.9864285588264465,,,,,novel,2,,,0.9568374843348748,0.9826666666666667,0.9840333333333334
loghd,2,5,1,,195.6,0.3576,0.9935158487071787,0.5699999928474426,0.5799999833106995,,,,,novel,2,,,0.9550910482856568,0.982,0.5730461904761905
feataxis,2,5,1,0.3576,195.6,0.3576,0.9823442870813462,0.9871428608894348,0.9885714054107666,,,,,novel,2,,,0.9536638246564331,0.9806666666666667,0.9848176190476191
loghd,2,6,2,,234.7,0.4292,0.9935158487071787,0.5242857336997986,0.5421428680419922,,,,,novel,2,,,0.9550910482856568,0.982,0.565322380952381
feataxis,2,6,2,0.4292,234.7,0.4292,0.9852306017947082,0.9885714054107666,0.9878571033477783,,,,,novel,2,,,0.9593857459714477,0.9833333333333333,0.9849433333333334
loghd,3,3,0,,117.4,0.2146,0.9935158487071787,0.3700000047683716,0.3471428453922272,,,,,novel,2,,,0.9550910482856568,0.982,0.4915909523809524
feataxis,3,3,0,0.2146,117.4,0.2146,0.9706342956770534,0.9842857122421265,0.9857142567634583,,,,,novel,2,,,0.9555055674025192,0.982,0.9838121428571428
loghd,3,4,1,,156.5,0.2861,0.9935158487071787,0.5214285850524902,0.4871428608894348,,,,,novel,2,,,0.9550910482856568,0.982,0.4857447619047619
feataxis,3,4,1,0.2861,156.5,0.2861,0.9781176423502788,0.9885714054107666,0.9864285588264465,,,,,novel,2,,,0.9568374843348748,0.9826666666666667,0.9840333333333334
loghd,3,5,2,,195.6,0.3576,0.9935158487071787,0.6242856979370117,0.587142825126648,,,,,novel,2,,,0.9550910482856568,0.982,0.5336188095238095
feataxis,3,5,2,0.3576,195.6,0.3576,0.9823442870813462,0.9871428608894348,0.9885714054107666,,,,,novel,2,,,0.9536638246564331,0.9806666666666667,0.9848176190476191
