seed,tag,bits,p,mem_frac,id_acc,ood_acc
1,loghd_k3_n4,2,0.1,0.3337,0.0833333358168602,0.0833333358168602
1,loghd_k3_n4,2,0.2,0.3337,0.0833333358168602,0.0833333358168602
1,loghd_k3_n4,2,0.3,0.3337,0.0833333358168602,0.0833333358168602
1,loghd_k3_n4,2,0.5,0.3337,0.0833333358168602,0.0833333358168602
1,loghd_k3_n4,4,0.0,0.3337,0.6758333444595337,0.363055557012558
1,loghd_k3_n4,4,0.05,0.3337,0.45750001072883606,0.3169444501399994
1,loghd_k3_n4,4,0.1,0.3337,0.335833340883255,0.22222222884496054
1,loghd_k3_n4,4,0.2,0.3337,0.08666666597127914,0.0833333358168602
1,loghd_k3_n4,4,0.3,0.3337,0.15333333611488342,0.09694444636503856
1,loghd_k3_n4,4,0.5,0.3337,0.0833333358168602,0.0833333358168602
1,loghd_k3_n4,8,0.0,0.3337,0.6758333444595337,0.363055557012558
1,loghd_k3_n4,8,0.05,0.3337,0.4441666901111603,0.1955555627743403
1,loghd_k3_n4,8,0.1,0.3337,0.22166667878627777,0.12916667262713113
1,loghd_k3_n4,8,0.2,0.3337,0.16333334147930145,0.126111110051473
1,loghd_k3_n4,8,0.3,0.3337,0.18333333730697632,0.12361111491918564
1,loghd_k3_n4,8,0.5,0.3337,0.0833333358168602,0.0833333358168602
1,feataxis_k3_n4,2,0.0,0.3337,0.9983333349227905,0.6355555554231008
1,feataxis_k3_n4,2,0.05,0.3337,0.9941666722297668,0.5825000206629435
1,feataxis_k3_n4,2,0.1,0.3337,0.9891666769981384,0.5441666642824808
1,feataxis_k3_n4,2,0.2,0.3337,0.987500011920929,0.5263889034589132
1,feataxis_k3_n4,2,0.3,0.3337,0.9366666674613953,0.5927777787049612
1,feataxis_k3_n4,2,0.5,0.3337,0.08749999850988388,0.11416666954755783
1,feataxis_k3_n4,4,0.0,0.3337,0.9983333349227905,0.6355555554231008
1,feataxis_k3_n4,4,0.05,0.3337,0.996666669845581,0.5797222455342611
1,feataxis_k3_n4,4,0.1,0.3337,0.996666669845581,0.5488889018694559
1,feataxis_k3_n4,4,0.2,0.3337,0.9925000071525574,0.48055556913216907
1,feataxis_k3_n4,4,0.3,0.3337,0.9791666865348816,0.4258333295583725
1,feataxis_k3_n4,4,0.5,0.3337,0.07333333790302277,0.08250000327825546
1,feataxis_k3_n4,8,0.0,0.3337,0.9983333349227905,0.6355555554231008
1,feataxis_k3_n4,8,0.05,0.3337,0.996666669845581,0.63527778784434
1,feataxis_k3_n4,8,0.1,0.3337,0.9975000023841858,0.596666673819224
1,feataxis_k3_n4,8,0.2,0.3337,0.9958333373069763,0.5786111354827881
1,feataxis_k3_n4,8,0.3,0.3337,0.9858333468437195,0.5841666758060455
1,feataxis_k3_n4,8,0.5,0.3337,0.09416666626930237,0.05777777855594953
1,hybrid_k2_n5,2,0.0,0.2088,0.7741667032241821,0.5291666785875956
1,hybrid_k2_n5,2,0.05,0.2088,0.15833333134651184,0.13472222785154978
1,hybrid_k2_n5,2,0.1,0.2088,0.1525000035762787,0.13527778287728628
1,hybrid_k2_n5,2,0.2,0.2088,0.1041666716337204,0.09472222377856572
1,hybrid_k2_n5,2,0.3,0.2088,0.0833333358168602,0.0833333358168602
1,hybrid_k2_n5,2,0.5,0.2088,0.0833333358168602,0.0833333358168602
1,hybrid_k2_n5,4,0.0,0.2088,0.7741667032241821,0.5291666785875956
1,hybrid_k2_n5,4,0.05,0.2088,0.6450000405311584,0.36916668713092804
1,hybrid_k2_n5,4,0.1,0.2088,0.48500001430511475,0.35916667183240253
1,hybrid_k2_n5,4,0.2,0.2088,0.08666666597127914,0.09083333363135655
1,hybrid_k2_n5,4,0.3,0.2088,0.11666666716337204,0.08527778089046478
1,hybrid_k2_n5,4,0.5,0.2088,0.08500000089406967,0.08472222338120143
1,hybrid_k2_n5,8,0.0,0.2088,0.7741667032241821,0.5291666785875956
1,hybrid_k2_n5,8,0.05,0.2088,0.4741666913032532,0.28333334624767303
1,hybrid_k2_n5,8,0.1,0.2088,0.24000000953674316,0.16444445153077444
1,hybrid_k2_n5,8,0.2,0.2088,0.1041666716337204,0.10888889183600743
1,hybrid_k2_n5,8,0.3,0.2088,0.08416666835546494,0.0833333358168602
1,hybrid_k2_n5,8,0.5,0.2088,0.08250000327825546,0.08083333323399226
2,full,2,0.0,1.0,1.0,0.8350000182787577
2,full,2,0.05,1.0,0.9975000023841858,0.8105555772781372
2,full,2,0.1,1.0,0.996666669845581,0.8002777894337972
2,full,2,0.2,1.0,0.9933333396911621,0.79666668176651
2,full,2,0.3,1.0,0.9816666841506958,0.7586111227671305
2,full,2,0.5,1.0,0.0925000011920929,0.0933333362142245
2,full,4,0.0,1.0,1.0,0.8350000182787577
2,full,4,0.05,1.0,0.9991666674613953,0.8283333579699198
2,full,4,0.1,1.0,0.9991666674613953,0.8263889153798422
2,full,4,0.2,1.0,0.9983333349227905,0.8041666944821676
2,full,4,0.3,1.0,0.9958333373069763,0.7900000015894572
2,full,4,0.5,1.0,0.06666667014360428,0.08000000069538753
2,full,8,0.0,1.0,1.0,0.8350000182787577
2,full,8,0.05,1.0,0.9991666674613953,0.8286111354827881
