task,encoding,seed,threshold,iteration,param,from_value,to_value,accepted,val_acc,val_drop,mem_kb_before,mem_kb_after
shift,id,1,0.05,16,levels,16,8,False,0.9366666674613953,0.0586666464805603,25.0,24.0
shift,id,2,0.005,1,dim,10000,512,False,0.8846666812896729,0.10866665840148926,1914.0625,98.0
shift,id,2,0.005,2,dim,10000,2048,False,0.9800000190734863,0.013333320617675781,1914.0625,392.0
shift,id,2,0.005,3,levels,1024,32,True,0.9926666617393494,0.0006666779518127441,1914.0625,703.125
shift,id,2,0.005,4,quant_bits,16,4,True,0.9906666278839111,0.0026667118072509766,703.125,263.671875
shift,id,2,0.005,5,dim,10000,4096,False,0.9866666793823242,0.006666660308837891,263.671875,108.0
shift,id,2,0.005,6,quant_bits,4,2,True,0.9886666536331177,0.004666686058044434,263.671875,190.4296875
shift,id,2,0.005,7,levels,32,8,False,0.9766666293144226,0.016666710376739502,190.4296875,161.1328125
shift,id,2,0.005,8,levels,32,16,True,0.9919999837875366,0.0013333559036254883,190.4296875,170.8984375
shift,id,2,0.005,9,levels,16,4,False,0.8700000047683716,0.12333333492279053,170.8984375,156.25
shift,id,2,0.005,10,levels,16,8,False,0.9766666293144226,0.016666710376739502,170.8984375,161.1328125
shift,id,2,0.01,1,dim,10000,512,False,0.8846666812896729,0.10866665840148926,1914.0625,98.0
shift,id,2,0.01,2,dim,10000,2048,False,0.9800000190734863,0.013333320617675781,1914.0625,392.0
shift,id,2,0.01,3,levels,1024,32,True,0.9926666617393494,0.0006666779518127441,1914.0625,703.125
shift,id,2,0.01,4,quant_bits,16,4,True,0.9906666278839111,0.0026667118072509766,703.125,263.671875
shift,id,2,0.01,5,dim,10000,4096,True,0.9866666793823242,0.006666660308837891,263.671875,108.0
shift,id,2,0.01,6,dim,4096,256,False,0.5379999876022339,0.4553333520889282,108.0,6.75
shift,id,2,0.01,7,dim,4096,1024,False,0.949999988079071,0.043333351612091064,108.0,27.0
shift,id,2,0.01,8,dim,4096,2048,False,0.9760000109672546,0.01733332872390747,108.0,54.0
shift,id,2,0.01,9,quant_bits,4,2,False,0.9739999771118164,0.019333362579345703,108.0,78.0
shift,id,2,0.01,10,quant_bits,4,3,True,0.9919999837875366,0.0013333559036254883,108.0,93.0
shift,id,2,0.01,11,quant_bits,3,2,False,0.9739999771118164,0.019333362579345703,93.0,78.0
shift,id,2,0.01,12,levels,32,8,False,0.9773333072662354,0.016000032424926758,93.0,81.0
shift,id,2,0.01,13,levels,32,16,True,0.9873332977294922,0.006000041961669922,93.0,85.0
shift,id,2,0.01,14,levels,16,4,False,0.9039999842643738,0.08933335542678833,85.0,79.0
shift,id,2,0.01,15,levels,16,8,False,0.9773333072662354,0.016000032424926758,85.0,81.0
shift,id,2,0.05,1,dim,10000,512,False,0.8846666812896729,0.10866665840148926,1914.0625,98.0
shift,id,2,0.05,2,dim,10000,2048,True,0.9800000190734863,0.013333320617675781,1914.0625,392.0
shift,id,2,0.05,3,dim,2048,256,False,0.6446666717529297,0.3486666679382324,392.0,49.0
shift,id,2,0.05,4,dim,2048,512,False,0.8846666812896729,0.10866665840148926,392.0,98.0
shift,id,2,0.05,5,levels,1024,32,True,0.9800000190734863,0.013333320617675781,392.0,144.0
shift,id,2,0.05,6,quant_bits,16,4,True,0.9760000109672546,0.01733332872390747,144.0,54.0
shift,id,2,0.05,7,dim,2048,1024,True,0.949999988079071,0.043333351612091064,54.0,27.0
shift,id,2,0.05,8,dim,1024,128,False,0.10999999940395355,0.8833333402872086,27.0,3.375
shift,id,2,0.05,9,dim,1024,256,False,0.5379999876022339,0.4553333520889282,27.0,6.75
shift,id,2,0.05,10,dim,1024,512,False,0.871999979019165,0.12133336067199707,27.0,13.5
shift,id,2,0.05,11,quant_bits,4,2,False,0.8806666731834412,0.11266666650772095,27.0,19.5
shift,id,2,0.05,12,quant_bits,4,3,False,0.9426666498184204,0.0506666898727417,27.0,23.25
shift,id,2,0.05,13,levels,32,8,False,0.940666675567627,0.052666664123535156,27.0,24.0
shift,id,2,0.05,14,levels,32,16,True,0.9539999961853027,0.039333343505859375,27.0,25.0
shift,id,2,0.05,15,levels,16,4,False,0.8993332982063293,0.09400004148483276,25.0,23.5
shift,id,2,0.05,16,levels,16,8,False,0.940666675567627,0.052666664123535156,25.0,24.0
novel,proj,0,0.005,1,dim,10000,512,True,1.0,0.0,1523.4375,78.0
novel,proj,0,0.005,2,dim,512,128,True,0.9971428513526917,0.0028571486473083496,78.0,19.5
novel,proj,0,0.005,3,quant_bits,16,4,False,0.9685714244842529,0.03142857551574707,19.5,4.875
novel,proj,0,0.005,4,dim,128,64,False,0.8742856979370117,0.12571430206298828,19.5,9.75
novel,proj,0,0.005,5,quant_bits,16,8,True,1.0,0.0,19.5,9.75
