task,seed,stage,knob,value,mem_kb,compression_vs_fp,geom_fid,val_acc,id_acc,acc_shift_6,acc_shift_12,acc_shift_18,avg_ood_acc,nmi,hungarian_acc,auroc
shift,2,P,keep_frac,0.05,183.6,20.0,0.8912941725962467,0.9940000176429749,0.9929999709129333,0.9156666398048401,0.6383333206176758,0.3766666650772095,0.6435555418332418,,,
shift,2,P,keep_frac,0.1,367.2,10.0,0.9398585312267276,0.9959999918937683,0.9950000047683716,0.9336666464805603,0.6859999895095825,0.4503333270549774,0.6899999876817068,,,
shift,2,P,keep_frac,0.2,734.4,5.0,0.9672436758400512,0.996666669845581,0.9953333139419556,0.9493333101272583,0.7293333411216736,0.4893333315849304,0.7226666609446207,,,
shift,2,P,keep_frac,0.3,1101.6,3.33,0.9783637136776259,0.9953333139419556,0.9959999918937683,0.9476666450500488,0.722000002861023,0.47966665029525757,0.7164444327354431,,,
shift,2,P,keep_frac,0.5,1835.9,2.0,0.9872245589757024,0.9973333477973938,0.9963333010673523,0.9509999752044678,0.7306666374206543,0.49133333563804626,0.7243333160877228,,,
shift,2,P,keep_frac,0.7,2570.3,1.43,0.9907959632884121,0.9959999918937683,0.9976666569709778,0.95333331823349,0.7306666374206543,0.4933333396911621,0.7257777651151022,,,
shift,2,P,keep_frac,1.0,3671.9,1.0,0.9933941553539579,0.9973333477973938,0.9979999661445618,0.9523333311080933,0.7300000190734863,0.47866666316986084,0.7203333377838135,,,
shift,2,Q,bits,2,229.5,16.0,0.9926283679842902,0.9959999918937683,0.9983333349227905,0.9516666531562805,0.7269999980926514,0.47966665029525757,0.7194444338480631,,,
shift,2,Q,bits,3,344.2,10.67,0.9933360731688182,0.996666669845581,0.9973333477973938,0.9523333311080933,0.7306666374206543,0.47866666316986084,0.7205555438995361,,,
shift,2,Q,bits,4,459.0,8.0,0.9934314585507488,0.996666669845581,0.9979999661445618,0.9509999752044678,0.7283333539962769,0.4806666672229767,0.7199999988079071,,,
shift,2,Q,bits,6,688.5,5.33,0.9933593828878646,0.9959999918937683,0.9976666569709778,0.953000009059906,0.7296666502952576,0.48133331537246704,0.7213333249092102,,,
shift,2,Q,bits,8,918.0,4.0,0.9933773357943774,0.9973333477973938,0.9979999661445618,0.9523333311080933,0.7300000190734863,0.4803333282470703,0.7208888928095499,,,
novel,0,none,baseline,fp32,3046.9,1.0,0.9932729785708554,1.0,0.9692857265472412,,,,,0.9693487237872219,0.9866666666666667,0.9841276190476189
novel,0,D,rank,8,861.4,3.54,0.35347315632517956,0.35999998450279236,0.4000000059604645,,,,,0.2611138597679682,0.45,0.6808242857142858
